# time [BJD], relative flux, relative flux error
2.458446847199424170e+06,9.986229800703186887e-01,6.880834463493203622e-03
2.458446868032554165e+06,1.013243055942914639e+00,6.885006158832291008e-03
2.458446888865684159e+06,1.004464755156847744e+00,6.871032931117776639e-03
2.458446909698813222e+06,1.008642217759916804e+00,6.886169412399965883e-03
2.458446930531941354e+06,9.970013405927248273e-01,6.870900048346281937e-03
2.458446951365069486e+06,1.019684356835593109e+00,6.895315676680060027e-03
2.458446972198196221e+06,9.946351177975981672e-01,6.877797615520002752e-03
2.458446993031322956e+06,1.022240953652816975e+00,6.891648855616040042e-03
2.458447013864448760e+06,1.000083345885121711e+00,6.883714129499212547e-03
2.458447055530698504e+06,9.998262922484058013e-01,6.880903923655756760e-03
2.458447076363822445e+06,9.887869616966231678e-01,6.871735338339604073e-03
2.458447097196945455e+06,1.003485857731526654e+00,6.885436878631139186e-03
2.458447118030068465e+06,1.010247764152117256e+00,6.887431454960852260e-03
2.458447138863190543e+06,1.007306575894186595e+00,6.888388670972196703e-03
2.458447159696311690e+06,1.018960777096330483e+00,6.887500163157153979e-03
2.458447180529432371e+06,1.000411546934877993e+00,6.879284524494449007e-03
2.458447201362552587e+06,1.013325298648305672e+00,6.880878721110541066e-03
2.458447222195671871e+06,1.012961697603419031e+00,6.893053397616406494e-03
2.458447243028790690e+06,9.992056910704595341e-01,6.883216693452817898e-03
2.458447263861909043e+06,9.957157703126974235e-01,6.877888340282120594e-03
2.458447284695026465e+06,1.007301882032920259e+00,6.883277284335459836e-03
2.458447305528142955e+06,9.999824848476848160e-01,6.888959766956836636e-03
2.458447326361259446e+06,1.005803801191238689e+00,6.893117032993331846e-03
2.458447347194375005e+06,1.000249033005421007e+00,6.890286204140874150e-03
2.458447368027489632e+06,1.006818642249338147e+00,6.889445934655703645e-03
2.458447388860603794e+06,1.005101481615004344e+00,6.886737150001155140e-03
2.458447409693717491e+06,9.940299320165389974e-01,6.888147835701027323e-03
2.458447430526830256e+06,1.006786711425801784e+00,6.896407340881954839e-03
2.458447451359942555e+06,1.005882928458276870e+00,6.897578721371983544e-03
2.458447472193054389e+06,9.844356902138358123e-01,6.879323893437470396e-03
2.458447493026165292e+06,1.009328642991321745e+00,6.899315558620830631e-03
2.458447513859275263e+06,1.014668085062164771e+00,6.894447890727823693e-03
2.458447534692385234e+06,1.008267980398577679e+00,6.893161464050786592e-03
